CountySS,StateSS,IAT,wts
-0.652970664,-1.291025287,-0.639911872,2.121320344
-0.902163755,-0.213656557,0.312076618,2.90473751
-0.574791679,-0.333587065,-0.094791955,2.704163457
-0.574791679,-0.333587065,-0.094791955,2.704163457
-0.45486715,0.011414493,-0.026428667,1.984313483
-0.314111498,-0.308645074,-0.601850204,2.487468593
-0.37164416,0.417758123,-0.550965927,2.25
-0.37082651,0.334494235,-0.220486544,3.436931771
-0.37082651,0.334494235,-0.220486544,3.436931771
-0.37164416,0.417758123,-0.550965927,3.354101966
-0.68420149,-0.679305395,-0.388558061,6.32455532
-0.531340284,-1.291025287,-0.070164847,4.123105626
-0.314111498,-0.308645074,-0.601850204,4.472135955
-0.37164416,0.417758123,-0.550965927,5.291502622
-0.37164416,0.417758123,-0.550965927,7.745966692
-0.314111498,-0.308645074,-0.601850204,3.354101966
-0.37164416,0.417758123,-0.550965927,6.708203932
-0.314111498,-0.308645074,-0.601850204,4.472135955
-0.41906,-1.291025287,0.13758,4.242640687
-0.574791679,-0.333587065,-0.094791955,2.80624304
-0.68420149,-0.679305395,-0.388558061,4.358898944
-0.380477556,-0.308645074,-0.269442953,4.358898944
-0.37164416,0.417758123,-0.550965927,6.633249581
-0.364460844,0.508773747,0.325319267,3.605551275
